ID,Дата записи,Время записи,Услуга,Учреждение,Регион,Статус,Возраст ученика,Пол ученика,Канал записи,Дата визита,Явился,Причина отмены,Тип учреждения
410,2024-08-17,03:25,Запись в продлёнку,Школа-лицей №2,Туркестанская,Записан,15,М,Веб,,Нет,,Школа-лицей
411,2024-09-10,10:00,Запрос справки,Школа-лицей №7,Карагандинская,Отменено,13,Ж,Веб,,Нет,Не явился,Школа-лицей
412,2024-11-27,22:29,Перевод из другой школы,Школа-лицей №10,Алматинская,Обслужен,12,М,Через школу,2024-11-27,Да,,Школа-лицей
413,2024-10-25,16:09,Перевод из другой школы,Школа-лицей №1,Актюбинская,Отменено,10,Ж,Веб,,Да,Не явился,Школа-лицей
414,2024-12-16,02:59,Запрос справки,Школа-лицей №8,Актюбинская,Обслужен,9,М,КИОСК,2024-12-16,Да,,Гимназия
415,2024-07-13,21:31,Запись в продлёнку,Школа-лицей №6,Карагандинская,Обслужен,15,М,Мобильное приложение,2024-07-13,Да,,Школа-лицей
416,2025-05-08,17:22,Перевод из другой школы,Школа-лицей №7,Актюбинская,Отменено,14,Ж,Веб,,Нет,По желанию,Школа-лицей
417,2024-11-17,09:03,Запись в продлёнку,Школа-лицей №3,Алматинская,Обслужен,6,М,Мобильное приложение,2024-11-17,Да,,Школа
418,2025-01-31,07:37,Зачисление в 1 класс,Школа-лицей №4,г. Астана,Отменено,11,М,КИОСК,,Да,Отменено учреждением,Гимназия
419,2024-06-26,22:57,Запись в продлёнку,Школа-лицей №2,Актюбинская,Записан,11,Ж,Через школу,,Нет,,Школа-лицей
420,2025-01-28,10:07,Запрос справки,Школа-лицей №6,г. Алматы,Обслужен,10,М,КИОСК,2025-01-28,Да,,Школа
421,2024-12-21,13:08,Запись в продлёнку,Школа-лицей №1,г. Алматы,Обслужен,9,М,Мобильное приложение,2024-12-21,Да,,Гимназия
422,2024-11-02,01:23,Перевод из другой школы,Школа-лицей №5,Актюбинская,Отменено,6,М,Через школу,,Нет,Системная ошибка,Гимназия
423,2025-04-07,04:05,Зачисление в 1 класс,Школа-лицей №4,Карагандинская,Обслужен,10,Ж,Через школу,2025-04-07,Да,,Школа-лицей
424,2025-05-16,19:55,Запрос справки,Школа-лицей №8,Карагандинская,Записан,10,Ж,Веб,,Нет,,Гимназия
425,2025-01-14,14:27,Запрос справки,Школа-лицей №9,Актюбинская,Обслужен,10,Ж,Веб,2025-01-14,Да,,Школа-лицей
426,2025-03-31,04:36,Зачисление в 1 класс,Школа-лицей №6,Карагандинская,Обслужен,10,Ж,КИОСК,2025-03-31,Да,,Школа
427,2025-04-25,22:11,Перевод из другой школы,Школа-лицей №9,г. Алматы,Обслужен,15,Ж,КИОСК,2025-04-25,Да,,Гимназия
428,2025-06-02,12:27,Перевод из другой школы,Школа-лицей №1,Актюбинская,Отменено,10,Ж,Через школу,,Да,Отменено учреждением,Гимназия
429,2024-12-25,18:06,Зачисление в 1 класс,Школа-лицей №10,Актюбинская,Обслужен,9,Ж,Мобильное приложение,2024-12-25,Да,,Гимназия
430,2024-10-02,18:17,Запись в продлёнку,Школа-лицей №6,Алматинская,Отменено,8,М,КИОСК,,Нет,Отменено учреждением,Школа
431,2024-12-24,09:58,Запрос справки,Школа-лицей №9,г. Алматы,Обслужен,11,М,Мобильное приложение,2024-12-24,Да,,Школа-лицей
432,2024-11-17,13:04,Перевод из другой школы,Школа-лицей №5,Туркестанская,Обслужен,11,Ж,КИОСК,2024-11-17,Да,,Гимназия
433,2025-03-05,03:54,Запрос справки,Школа-лицей №8,г. Астана,Отменено,16,М,Через школу,,Нет,,Школа
434,2025-04-24,08:17,Запись в продлёнку,Школа-лицей №9,Карагандинская,Отменено,8,М,Мобильное приложение,,Да,Отменено учреждением,Гимназия
435,2025-03-27,05:00,Запись в продлёнку,Школа-лицей №3,Карагандинская,Обслужен,8,М,Через школу,2025-03-27,Да,,Школа-лицей
436,2025-05-11,01:05,Перевод из другой школы,Школа-лицей №6,Актюбинская,Записан,13,Ж,Мобильное приложение,,Нет,,Гимназия
437,2025-06-11,04:56,Перевод из другой школы,Школа-лицей №8,г. Астана,Записан,12,Ж,Через школу,,Да,,Школа-лицей
438,2025-02-15,17:09,Запись в продлёнку,Школа-лицей №1,г. Астана,Обслужен,17,Ж,Веб,2025-02-15,Да,,Школа-лицей
439,2024-06-29,10:14,Перевод из другой школы,Школа-лицей №1,Актюбинская,Записан,17,М,Мобильное приложение,,Да,,Школа-лицей
440,2025-02-03,00:55,Перевод из другой школы,Школа-лицей №2,Туркестанская,Обслужен,10,М,Веб,2025-02-03,Да,,Школа
441,2025-03-03,15:00,Запрос справки,Школа-лицей №5,Туркестанская,Обслужен,15,Ж,Через школу,2025-03-03,Да,,Гимназия
442,2024-07-21,15:06,Перевод из другой школы,Школа-лицей №6,Туркестанская,Отменено,9,М,Через школу,,Нет,Системная ошибка,Школа
443,2024-12-02,19:53,Перевод из другой школы,Школа-лицей №4,Актюбинская,Записан,14,М,Веб,,Да,,Гимназия
444,2025-05-21,13:51,Зачисление в 1 класс,Школа-лицей №7,Актюбинская,Записан,14,М,Веб,,Нет,,Гимназия
445,2024-08-28,19:57,Зачисление в 1 класс,Школа-лицей №1,Актюбинская,Записан,13,Ж,Веб,,Да,,Школа-лицей
446,2024-09-28,16:15,Перевод из другой школы,Школа-лицей №4,Актюбинская,Обслужен,6,Ж,Через школу,2024-09-28,Да,,Гимназия
447,2024-10-24,20:16,Зачисление в 1 класс,Школа-лицей №9,Карагандинская,Обслужен,17,М,Через школу,2024-10-24,Да,,Школа
448,2024-12-12,19:07,Зачисление в 1 класс,Школа-лицей №5,г. Астана,Обслужен,13,М,Мобильное приложение,2024-12-12,Да,,Школа-лицей
449,2024-10-28,11:12,Перевод из другой школы,Школа-лицей №6,Актюбинская,Отменено,8,М,Через школу,,Нет,Отменено учреждением,Школа-лицей
450,2025-05-26,05:35,Перевод из другой школы,Школа-лицей №1,г. Астана,Обслужен,7,Ж,Мобильное приложение,2025-05-26,Да,,Школа
451,2024-10-05,07:19,Зачисление в 1 класс,Школа-лицей №2,Карагандинская,Обслужен,13,Ж,КИОСК,2024-10-05,Да,,Школа-лицей
452,2025-05-08,01:12,Зачисление в 1 класс,Школа-лицей №2,г. Алматы,Обслужен,10,Ж,КИОСК,2025-05-08,Да,,Школа-лицей
453,2024-09-24,18:58,Зачисление в 1 класс,Школа-лицей №2,г. Астана,Записан,8,М,КИОСК,,Да,,Школа-лицей
454,2024-12-18,18:34,Запрос справки,Школа-лицей №2,Карагандинская,Обслужен,8,М,Через школу,2024-12-18,Да,,Школа-лицей
455,2025-04-05,07:59,Запись в продлёнку,Школа-лицей №5,Туркестанская,Обслужен,13,Ж,Мобильное приложение,2025-04-05,Да,,Школа
456,2024-07-09,07:28,Перевод из другой школы,Школа-лицей №1,г. Алматы,Записан,15,Ж,Через школу,,Нет,,Гимназия
457,2024-09-14,10:03,Запись в продлёнку,Школа-лицей №6,Алматинская,Записан,16,М,Через школу,,Да,,Школа
458,2024-07-15,15:39,Запись в продлёнку,Школа-лицей №8,г. Астана,Записан,16,Ж,Веб,,Нет,,Гимназия
459,2025-02-27,14:54,Запрос справки,Школа-лицей №9,Алматинская,Обслужен,15,М,Через школу,2025-02-27,Да,,Гимназия
460,2025-04-07,06:06,Перевод из другой школы,Школа-лицей №8,Карагандинская,Обслужен,16,Ж,Мобильное приложение,2025-04-07,Да,,Гимназия
461,2024-09-23,03:16,Зачисление в 1 класс,Школа-лицей №1,Актюбинская,Обслужен,14,Ж,Через школу,2024-09-23,Да,,Школа
462,2025-05-10,13:09,Зачисление в 1 класс,Школа-лицей №8,Карагандинская,Записан,10,М,Мобильное приложение,,Да,,Школа-лицей
463,2025-02-15,11:36,Перевод из другой школы,Школа-лицей №2,Туркестанская,Отменено,15,Ж,Веб,,Да,Отменено учреждением,Школа-лицей
464,2024-09-19,05:44,Зачисление в 1 класс,Школа-лицей №8,Актюбинская,Обслужен,7,Ж,Через школу,2024-09-19,Да,,Школа
465,2024-12-19,11:45,Зачисление в 1 класс,Школа-лицей №2,Алматинская,Обслужен,16,Ж,Мобильное приложение,2024-12-19,Да,,Гимназия
466,2024-08-02,12:57,Запись в продлёнку,Школа-лицей №6,Карагандинская,Обслужен,9,Ж,КИОСК,2024-08-02,Да,,Гимназия
467,2024-09-11,11:34,Запись в продлёнку,Школа-лицей №6,Актюбинская,Отменено,7,М,Веб,,Да,Не явился,Гимназия
468,2025-03-17,23:19,Запрос справки,Школа-лицей №9,Алматинская,Отменено,7,М,Мобильное приложение,,Да,Системная ошибка,Гимназия
469,2025-04-12,22:32,Запись в продлёнку,Школа-лицей №2,Карагандинская,Обслужен,9,М,Через школу,2025-04-12,Да,,Школа
470,2024-08-23,13:04,Запись в продлёнку,Школа-лицей №4,Актюбинская,Отменено,12,М,Веб,,Да,Отменено учреждением,Гимназия
471,2025-02-09,19:01,Перевод из другой школы,Школа-лицей №8,г. Астана,Обслужен,6,Ж,Через школу,2025-02-09,Да,,Гимназия
472,2025-03-24,17:31,Перевод из другой школы,Школа-лицей №10,г. Алматы,Обслужен,8,М,Через школу,2025-03-24,Да,,Гимназия
473,2025-04-17,10:06,Запрос справки,Школа-лицей №9,Туркестанская,Отменено,15,М,КИОСК,,Да,Не явился,Школа-лицей
474,2024-10-17,19:24,Запись в продлёнку,Школа-лицей №3,г. Алматы,Отменено,17,Ж,КИОСК,,Нет,Системная ошибка,Школа
475,2025-01-29,05:46,Запрос справки,Школа-лицей №6,Актюбинская,Записан,17,М,КИОСК,,Нет,,Школа-лицей
476,2025-06-14,17:44,Запись в продлёнку,Школа-лицей №10,Алматинская,Обслужен,17,Ж,КИОСК,2025-06-14,Да,,Школа-лицей
477,2025-01-28,13:23,Зачисление в 1 класс,Школа-лицей №9,г. Астана,Записан,8,М,Веб,,Нет,,Школа-лицей
478,2025-06-06,07:19,Перевод из другой школы,Школа-лицей №5,Актюбинская,Записан,6,Ж,Мобильное приложение,,Нет,,Школа-лицей
479,2024-11-20,18:53,Запись в продлёнку,Школа-лицей №2,Алматинская,Обслужен,17,М,Через школу,2024-11-20,Да,,Школа
480,2024-09-04,21:39,Запрос справки,Школа-лицей №1,Туркестанская,Отменено,16,Ж,Веб,,Нет,Не явился,Школа
481,2025-02-03,07:32,Запись в продлёнку,Школа-лицей №4,Актюбинская,Обслужен,16,Ж,Мобильное приложение,2025-02-03,Да,,Гимназия
482,2025-05-07,04:39,Перевод из другой школы,Школа-лицей №5,Туркестанская,Записан,16,М,Мобильное приложение,,Нет,,Гимназия
483,2024-09-21,18:29,Зачисление в 1 класс,Школа-лицей №7,г. Астана,Отменено,14,Ж,Мобильное приложение,,Нет,,Школа-лицей
484,2025-03-16,02:47,Зачисление в 1 класс,Школа-лицей №6,Туркестанская,Обслужен,8,М,Мобильное приложение,2025-03-16,Да,,Школа-лицей
485,2024-10-14,08:24,Зачисление в 1 класс,Школа-лицей №10,Актюбинская,Отменено,15,Ж,Веб,,Да,,Школа
486,2025-02-07,12:08,Перевод из другой школы,Школа-лицей №9,г. Астана,Обслужен,8,Ж,Через школу,2025-02-07,Да,,Школа
487,2024-08-05,08:02,Запрос справки,Школа-лицей №4,г. Алматы,Обслужен,11,Ж,КИОСК,2024-08-05,Да,,Школа
488,2025-01-24,12:10,Запись в продлёнку,Школа-лицей №9,Актюбинская,Записан,16,Ж,Через школу,,Нет,,Гимназия
489,2024-07-04,19:06,Перевод из другой школы,Школа-лицей №1,Актюбинская,Обслужен,12,М,Через школу,2024-07-04,Да,,Школа-лицей
490,2025-01-11,09:26,Запрос справки,Школа-лицей №1,Алматинская,Обслужен,11,Ж,Через школу,2025-01-11,Да,,Школа
491,2025-03-02,14:08,Запрос справки,Школа-лицей №4,Карагандинская,Обслужен,7,М,Веб,2025-03-02,Да,,Гимназия
492,2024-07-15,17:22,Зачисление в 1 класс,Школа-лицей №4,Актюбинская,Обслужен,9,Ж,Веб,2024-07-15,Да,,Школа
493,2025-02-25,08:19,Запись в продлёнку,Школа-лицей №2,Актюбинская,Обслужен,6,Ж,КИОСК,2025-02-25,Да,,Школа
494,2024-06-23,14:47,Зачисление в 1 класс,Школа-лицей №2,г. Астана,Записан,10,М,Мобильное приложение,,Да,,Школа-лицей
495,2025-05-04,00:42,Запись в продлёнку,Школа-лицей №8,Актюбинская,Отменено,11,М,Через школу,,Нет,,Школа
496,2024-07-29,06:46,Зачисление в 1 класс,Школа-лицей №10,г. Астана,Обслужен,7,Ж,Веб,2024-07-29,Да,,Школа-лицей
497,2024-11-06,13:17,Запрос справки,Школа-лицей №10,г. Астана,Записан,13,Ж,Через школу,,Нет,,Школа-лицей
498,2025-05-31,21:12,Перевод из другой школы,Школа-лицей №9,г. Алматы,Записан,12,Ж,Мобильное приложение,,Да,,Гимназия
499,2025-03-20,14:46,Запрос справки,Школа-лицей №1,Алматинская,Обслужен,8,М,Веб,2025-03-20,Да,,Школа
500,2024-12-05,21:47,Запись в продлёнку,Школа-лицей №9,Алматинская,Обслужен,10,М,КИОСК,2024-12-05,Да,,Школа
501,2025-03-30,02:03,Запись в продлёнку,Школа-лицей №9,г. Алматы,Записан,9,Ж,Мобильное приложение,,Нет,,Школа
502,2025-02-26,22:25,Зачисление в 1 класс,Школа-лицей №9,Туркестанская,Обслужен,7,Ж,Веб,2025-02-26,Да,,Школа-лицей
503,2025-02-13,21:36,Зачисление в 1 класс,Школа-лицей №4,Актюбинская,Обслужен,11,Ж,Мобильное приложение,2025-02-13,Да,,Гимназия
504,2025-06-11,08:38,Перевод из другой школы,Школа-лицей №2,Карагандинская,Обслужен,9,Ж,Через школу,2025-06-11,Да,,Школа-лицей
505,2025-04-15,09:29,Запрос справки,Школа-лицей №10,Актюбинская,Отменено,15,М,КИОСК,,Да,Отменено учреждением,Школа
506,2024-12-16,06:18,Зачисление в 1 класс,Школа-лицей №6,г. Алматы,Обслужен,17,Ж,КИОСК,2024-12-16,Да,,Школа-лицей
507,2025-05-05,18:07,Перевод из другой школы,Школа-лицей №6,Туркестанская,Отменено,11,Ж,Через школу,,Нет,Системная ошибка,Гимназия
508,2025-02-04,00:10,Зачисление в 1 класс,Школа-лицей №5,г. Алматы,Обслужен,9,Ж,Веб,2025-02-04,Да,,Гимназия
509,2024-10-22,19:34,Зачисление в 1 класс,Школа-лицей №1,Алматинская,Обслужен,15,Ж,Мобильное приложение,2024-10-22,Да,,Школа
510,2025-05-07,00:25,Запрос справки,Школа-лицей №9,Алматинская,Отменено,8,Ж,Через школу,,Нет,,Гимназия
511,2024-10-05,17:52,Запрос справки,Школа-лицей №3,Туркестанская,Обслужен,7,Ж,КИОСК,2024-10-05,Да,,Гимназия
512,2024-09-21,04:32,Зачисление в 1 класс,Школа-лицей №4,Алматинская,Обслужен,14,М,Через школу,2024-09-21,Да,,Школа
513,2024-12-16,16:33,Перевод из другой школы,Школа-лицей №10,Алматинская,Обслужен,8,Ж,КИОСК,2024-12-16,Да,,Школа
514,2025-02-11,21:56,Перевод из другой школы,Школа-лицей №8,г. Алматы,Записан,11,М,Веб,,Нет,,Гимназия
515,2024-11-13,04:24,Запрос справки,Школа-лицей №7,Туркестанская,Обслужен,6,М,КИОСК,2024-11-13,Да,,Школа
516,2024-06-30,01:18,Запрос справки,Школа-лицей №5,Алматинская,Обслужен,8,Ж,Через школу,2024-06-30,Да,,Школа-лицей
517,2025-05-15,06:30,Зачисление в 1 класс,Школа-лицей №9,Карагандинская,Отменено,9,Ж,КИОСК,,Да,Отменено учреждением,Школа-лицей
518,2024-08-28,02:51,Зачисление в 1 класс,Школа-лицей №9,г. Алматы,Отменено,9,М,КИОСК,,Нет,Системная ошибка,Школа
519,2024-09-09,05:20,Перевод из другой школы,Школа-лицей №6,Алматинская,Обслужен,7,М,Через школу,2024-09-09,Да,,Школа-лицей
520,2025-04-24,09:13,Зачисление в 1 класс,Школа-лицей №8,Актюбинская,Отменено,9,М,Через школу,,Нет,Системная ошибка,Школа
521,2024-10-29,22:47,Перевод из другой школы,Школа-лицей №10,Алматинская,Записан,16,М,Мобильное приложение,,Нет,,Школа
522,2025-05-26,12:18,Запрос справки,Школа-лицей №3,Алматинская,Обслужен,15,М,КИОСК,2025-05-26,Да,,Школа
523,2025-03-18,16:37,Перевод из другой школы,Школа-лицей №8,Алматинская,Обслужен,13,М,Мобильное приложение,2025-03-18,Да,,Школа-лицей
524,2025-01-20,07:22,Перевод из другой школы,Школа-лицей №10,г. Алматы,Обслужен,14,Ж,Мобильное приложение,2025-01-20,Да,,Гимназия
525,2025-01-05,17:35,Запрос справки,Школа-лицей №8,Алматинская,Обслужен,9,Ж,Через школу,2025-01-05,Да,,Школа
526,2024-07-22,22:29,Зачисление в 1 класс,Школа-лицей №1,г. Алматы,Обслужен,14,Ж,Мобильное приложение,2024-07-22,Да,,Гимназия
527,2025-03-25,19:49,Зачисление в 1 класс,Школа-лицей №3,Туркестанская,Обслужен,15,М,Веб,2025-03-25,Да,,Школа
528,2024-12-25,23:30,Запись в продлёнку,Школа-лицей №3,Алматинская,Обслужен,6,Ж,Через школу,2024-12-25,Да,,Школа-лицей
529,2025-04-09,06:48,Зачисление в 1 класс,Школа-лицей №9,Туркестанская,Записан,13,Ж,КИОСК,,Нет,,Школа-лицей
530,2025-03-14,08:36,Перевод из другой школы,Школа-лицей №5,Туркестанская,Обслужен,7,Ж,Через школу,2025-03-14,Да,,Школа-лицей
531,2025-02-24,22:32,Перевод из другой школы,Школа-лицей №1,Актюбинская,Обслужен,6,М,Веб,2025-02-24,Да,,Школа-лицей
532,2024-12-26,10:31,Перевод из другой школы,Школа-лицей №6,Туркестанская,Отменено,8,Ж,КИОСК,,Да,,Школа-лицей
533,2025-04-22,14:00,Запрос справки,Школа-лицей №10,Карагандинская,Обслужен,12,М,Через школу,2025-04-22,Да,,Гимназия
534,2024-07-25,06:21,Запись в продлёнку,Школа-лицей №3,Карагандинская,Обслужен,13,Ж,КИОСК,2024-07-25,Да,,Гимназия
535,2024-09-13,10:40,Запрос справки,Школа-лицей №7,Актюбинская,Записан,16,М,Мобильное приложение,,Да,,Гимназия
536,2025-03-14,09:10,Перевод из другой школы,Школа-лицей №2,г. Алматы,Обслужен,11,М,Мобильное приложение,2025-03-14,Да,,Школа-лицей
537,2024-10-15,19:34,Зачисление в 1 класс,Школа-лицей №2,г. Алматы,Отменено,15,Ж,Веб,,Нет,Не явился,Школа
538,2025-01-30,01:16,Запрос справки,Школа-лицей №2,Алматинская,Записан,12,Ж,КИОСК,,Нет,,Школа
539,2024-12-19,15:28,Запись в продлёнку,Школа-лицей №8,г. Астана,Записан,16,Ж,Мобильное приложение,,Нет,,Гимназия
540,2025-01-11,03:16,Перевод из другой школы,Школа-лицей №10,г. Алматы,Обслужен,11,М,Веб,2025-01-11,Да,,Школа
541,2024-12-01,07:49,Зачисление в 1 класс,Школа-лицей №5,Туркестанская,Отменено,12,Ж,Мобильное приложение,,Нет,По желанию,Школа
542,2025-01-18,20:41,Запрос справки,Школа-лицей №9,Алматинская,Отменено,10,М,Мобильное приложение,,Да,Отменено учреждением,Гимназия
543,2024-11-02,13:18,Зачисление в 1 класс,Школа-лицей №5,г. Алматы,Отменено,7,М,КИОСК,,Да,По желанию,Гимназия
544,2024-12-12,15:56,Запрос справки,Школа-лицей №9,Алматинская,Записан,13,Ж,Через школу,,Нет,,Школа-лицей
545,2024-10-16,16:08,Запись в продлёнку,Школа-лицей №8,Алматинская,Обслужен,13,М,КИОСК,2024-10-16,Да,,Школа
546,2024-09-16,22:02,Запись в продлёнку,Школа-лицей №4,Актюбинская,Обслужен,11,Ж,КИОСК,2024-09-16,Да,,Гимназия
547,2025-03-26,17:00,Зачисление в 1 класс,Школа-лицей №5,г. Алматы,Записан,12,Ж,Веб,,Нет,,Школа-лицей
548,2024-10-19,13:10,Запрос справки,Школа-лицей №6,г. Алматы,Обслужен,10,М,Мобильное приложение,2024-10-19,Да,,Школа-лицей
549,2025-04-03,23:18,Перевод из другой школы,Школа-лицей №4,Актюбинская,Записан,10,М,Мобильное приложение,,Нет,,Школа
550,2025-04-11,02:35,Запрос справки,Школа-лицей №3,г. Астана,Записан,7,Ж,Веб,,Нет,,Школа-лицей
551,2024-08-29,18:38,Запрос справки,Школа-лицей №10,Карагандинская,Отменено,15,Ж,Через школу,,Нет,,Школа-лицей
552,2024-09-11,02:50,Запись в продлёнку,Школа-лицей №4,Алматинская,Записан,14,Ж,Через школу,,Нет,,Гимназия
553,2024-12-24,10:27,Запрос справки,Школа-лицей №7,Актюбинская,Обслужен,13,М,Через школу,2024-12-24,Да,,Школа-лицей
554,2025-03-27,06:17,Зачисление в 1 класс,Школа-лицей №1,Актюбинская,Записан,15,М,КИОСК,,Да,,Гимназия
555,2025-04-10,22:04,Запрос справки,Школа-лицей №3,Алматинская,Записан,10,Ж,КИОСК,,Да,,Школа
556,2025-02-05,23:17,Запись в продлёнку,Школа-лицей №7,г. Алматы,Отменено,11,Ж,Через школу,,Да,Отменено учреждением,Школа
557,2024-07-28,19:38,Перевод из другой школы,Школа-лицей №10,Актюбинская,Записан,7,Ж,Мобильное приложение,,Да,,Школа-лицей
558,2024-10-12,02:59,Перевод из другой школы,Школа-лицей №3,Актюбинская,Записан,6,М,Через школу,,Да,,Школа
559,2024-11-06,01:03,Запрос справки,Школа-лицей №8,Карагандинская,Записан,15,М,Через школу,,Нет,,Гимназия
560,2024-10-14,15:49,Перевод из другой школы,Школа-лицей №1,г. Алматы,Обслужен,13,М,Через школу,2024-10-14,Да,,Гимназия
561,2025-03-20,23:59,Запрос справки,Школа-лицей №5,Карагандинская,Отменено,14,Ж,КИОСК,,Нет,Отменено учреждением,Школа
562,2024-08-07,01:05,Запрос справки,Школа-лицей №10,г. Алматы,Обслужен,16,М,КИОСК,2024-08-07,Да,,Школа-лицей
563,2024-07-06,06:02,Запрос справки,Школа-лицей №9,Туркестанская,Обслужен,13,М,Через школу,2024-07-06,Да,,Гимназия
564,2025-01-19,02:17,Запрос справки,Школа-лицей №8,Актюбинская,Обслужен,8,Ж,Через школу,2025-01-19,Да,,Гимназия
565,2025-03-16,16:38,Запись в продлёнку,Школа-лицей №2,г. Астана,Записан,9,Ж,КИОСК,,Да,,Гимназия
566,2025-02-21,18:01,Запрос справки,Школа-лицей №10,Актюбинская,Отменено,13,Ж,Через школу,,Да,Системная ошибка,Школа
567,2024-12-26,19:54,Зачисление в 1 класс,Школа-лицей №3,Актюбинская,Записан,10,М,Мобильное приложение,,Нет,,Школа-лицей
568,2025-05-23,20:35,Зачисление в 1 класс,Школа-лицей №2,г. Астана,Обслужен,13,М,Веб,2025-05-23,Да,,Школа-лицей
569,2025-01-27,07:00,Зачисление в 1 класс,Школа-лицей №2,Карагандинская,Обслужен,7,Ж,КИОСК,2025-01-27,Да,,Школа
570,2024-12-18,12:08,Перевод из другой школы,Школа-лицей №5,Туркестанская,Обслужен,8,М,Веб,2024-12-18,Да,,Школа
571,2024-12-07,07:00,Запрос справки,Школа-лицей №6,Туркестанская,Отменено,14,Ж,Через школу,,Нет,,Школа
572,2024-08-29,23:24,Запись в продлёнку,Школа-лицей №10,Туркестанская,Обслужен,16,Ж,КИОСК,2024-08-29,Да,,Школа-лицей
573,2024-09-25,00:33,Перевод из другой школы,Школа-лицей №2,Туркестанская,Отменено,12,Ж,Мобильное приложение,,Да,По желанию,Школа
574,2024-08-02,02:52,Перевод из другой школы,Школа-лицей №6,Карагандинская,Отменено,6,Ж,Через школу,,Да,По желанию,Школа-лицей
575,2024-11-21,10:15,Запрос справки,Школа-лицей №10,г. Алматы,Обслужен,14,Ж,Мобильное приложение,2024-11-21,Да,,Школа-лицей
576,2024-07-17,22:31,Запись в продлёнку,Школа-лицей №7,г. Алматы,Записан,17,Ж,Через школу,,Нет,,Школа-лицей
577,2025-02-18,19:59,Зачисление в 1 класс,Школа-лицей №7,Актюбинская,Записан,15,Ж,КИОСК,,Да,,Школа-лицей
578,2024-07-09,04:41,Перевод из другой школы,Школа-лицей №2,г. Алматы,Записан,7,Ж,Через школу,,Да,,Гимназия
579,2024-08-15,01:05,Запись в продлёнку,Школа-лицей №4,Карагандинская,Записан,6,М,Мобильное приложение,,Нет,,Школа-лицей
580,2025-01-23,20:56,Запрос справки,Школа-лицей №3,Актюбинская,Отменено,6,М,Веб,,Нет,По желанию,Школа-лицей
581,2024-07-22,19:40,Перевод из другой школы,Школа-лицей №6,Туркестанская,Отменено,13,Ж,Через школу,,Нет,Не явился,Школа
582,2024-08-04,23:31,Перевод из другой школы,Школа-лицей №1,Карагандинская,Обслужен,7,Ж,Мобильное приложение,2024-08-04,Да,,Школа
583,2025-04-11,01:28,Запрос справки,Школа-лицей №7,г. Астана,Записан,17,М,Через школу,,Да,,Школа
584,2025-02-09,19:30,Зачисление в 1 класс,Школа-лицей №4,Туркестанская,Обслужен,7,М,Через школу,2025-02-09,Да,,Школа-лицей
585,2025-04-22,20:54,Запрос справки,Школа-лицей №6,г. Алматы,Обслужен,6,М,КИОСК,2025-04-22,Да,,Школа-лицей
586,2024-09-14,23:13,Запрос справки,Школа-лицей №4,Карагандинская,Обслужен,16,М,Веб,2024-09-14,Да,,Школа
587,2025-01-07,08:19,Запись в продлёнку,Школа-лицей №6,г. Астана,Записан,10,М,Через школу,,Нет,,Школа
588,2024-12-10,21:21,Зачисление в 1 класс,Школа-лицей №10,Актюбинская,Отменено,15,М,КИОСК,,Нет,Системная ошибка,Школа
589,2024-10-12,20:55,Запись в продлёнку,Школа-лицей №2,Актюбинская,Обслужен,16,М,Веб,2024-10-12,Да,,Школа-лицей
590,2024-12-02,06:24,Перевод из другой школы,Школа-лицей №9,г. Астана,Записан,9,Ж,КИОСК,,Да,,Гимназия
591,2025-01-25,17:13,Перевод из другой школы,Школа-лицей №1,Актюбинская,Отменено,17,М,КИОСК,,Нет,Отменено учреждением,Гимназия
592,2024-07-12,11:00,Запись в продлёнку,Школа-лицей №9,Карагандинская,Обслужен,13,М,Мобильное приложение,2024-07-12,Да,,Гимназия
593,2025-04-02,11:07,Запрос справки,Школа-лицей №6,Актюбинская,Отменено,15,М,Веб,,Нет,Отменено учреждением,Школа-лицей
594,2025-04-11,14:18,Запрос справки,Школа-лицей №9,Карагандинская,Отменено,16,Ж,Мобильное приложение,,Нет,,Школа-лицей
595,2025-02-16,01:26,Перевод из другой школы,Школа-лицей №6,Актюбинская,Записан,14,Ж,Мобильное приложение,,Да,,Гимназия
596,2024-09-29,00:43,Перевод из другой школы,Школа-лицей №10,Карагандинская,Отменено,16,Ж,Веб,,Нет,,Гимназия
597,2024-07-20,16:12,Зачисление в 1 класс,Школа-лицей №1,г. Алматы,Записан,6,М,Веб,,Да,,Школа
598,2024-09-20,03:49,Зачисление в 1 класс,Школа-лицей №1,Алматинская,Обслужен,12,Ж,КИОСК,2024-09-20,Да,,Школа
599,2025-01-19,17:56,Запрос справки,Школа-лицей №4,Алматинская,Обслужен,6,М,Через школу,2025-01-19,Да,,Школа
600,2024-08-18,12:07,Запись в продлёнку,Школа-лицей №1,Карагандинская,Обслужен,12,Ж,Веб,2024-08-18,Да,,Гимназия
601,2024-11-24,07:55,Запрос справки,Школа-лицей №9,г. Астана,Обслужен,10,М,Мобильное приложение,2024-11-24,Да,,Гимназия
602,2025-03-13,06:10,Зачисление в 1 класс,Школа-лицей №2,Актюбинская,Записан,12,М,Мобильное приложение,,Нет,,Гимназия
603,2024-12-18,06:56,Перевод из другой школы,Школа-лицей №9,Актюбинская,Обслужен,17,М,КИОСК,2024-12-18,Да,,Гимназия
604,2024-07-01,08:57,Запись в продлёнку,Школа-лицей №7,г. Астана,Записан,8,Ж,КИОСК,,Нет,,Гимназия
