ID,Дата обращения,Категория,Подкатегория,Регион,Возраст заявителя,Пол,Статус,Дата ответа,Кол-во детей,Возраст старшего ребенка,Ответственный орган,Тип заявителя,Способ подачи,Язык обращения,Повторное обращение,Канал получения ответа,Категория срочности,Вид обращения,Тематика
929,2024-07-03,Труд и занятость,Охрана труда,Алматинская,72,М,В работе,2024-08-09,0,,Акимат города,Физическое лицо,Лично,Русский,Нет,Портал,Средняя,Жалоба,Медицина
930,2023-12-07,ЖКХ,Водоснабжение,г. Астана,73,Ж,Рассмотрено,2023-12-24,1,24.0,Министерство труда,Физическое лицо,Мобильное приложение,Русский,Нет,Портал,Низкая,Жалоба,Образование
931,2024-01-17,Труд и занятость,Охрана труда,Жамбылская,65,Ж,Рассмотрено,2024-02-15,3,14.0,Министерство здравоохранения,Юридическое лицо,Мобильное приложение,Казахский,Нет,Телефон,Высокая,Вопрос,Образование
932,2024-05-23,Образование,Школы,Актюбинская,80,Ж,На рассмотрении,2024-06-14,0,,Министерство труда,Физическое лицо,Лично,Русский,Да,Email,Высокая,Благодарность,Электроснабжение
933,2024-07-01,Труд и занятость,Безработица,Мангистауская,30,Ж,Рассмотрено,2024-07-13,3,17.0,Министерство труда,Юридическое лицо,Лично,Русский,Нет,Бумажное письмо,Средняя,Благодарность,Земельный вопрос
934,2023-07-12,Труд и занятость,Охрана труда,Восточно-Казахстанская,80,М,Отклонено,2023-07-30,3,15.0,Министерство труда,Юридическое лицо,Мобильное приложение,Русский,Нет,Email,Высокая,Вопрос,Электроснабжение
935,2024-04-17,ЖКХ,Электричество,Жамбылская,35,Ж,Рассмотрено,2024-05-21,0,,МОН РК,Юридическое лицо,Мобильное приложение,Казахский,Нет,Телефон,Средняя,Предложение,Электроснабжение
936,2024-03-07,Здравоохранение,Медикаменты,Северо-Казахстанская,56,Ж,На рассмотрении,2024-03-21,2,12.0,Акимат города,Физическое лицо,Лично,Русский,Да,Email,Высокая,Благодарность,Медицина
937,2024-11-20,Труд и занятость,Безработица,Акмолинская,23,М,В работе,2024-12-16,2,21.0,МОН РК,Физическое лицо,Лично,Русский,Да,Бумажное письмо,Высокая,Благодарность,Социальные пособия
938,2024-11-28,Здравоохранение,Скорая помощь,Акмолинская,21,М,Отклонено,2024-12-25,3,5.0,Акимат города,Юридическое лицо,Мобильное приложение,Казахский,Нет,Бумажное письмо,Низкая,Предложение,Образование
939,2025-02-28,Здравоохранение,Скорая помощь,Северо-Казахстанская,70,М,Отклонено,2025-03-08,1,12.0,Акимат города,Юридическое лицо,Веб-сайт,Казахский,Да,Email,Высокая,Жалоба,Образование
940,2024-04-29,Социальная защита,Многодетные семьи,г. Астана,39,М,Отклонено,2024-06-01,2,24.0,Акимат города,Юридическое лицо,Лично,Русский,Нет,Email,Низкая,Предложение,Электроснабжение
941,2025-01-02,Труд и занятость,Безработица,Актюбинская,23,М,Рассмотрено,2025-01-06,2,11.0,ЦОН,Юридическое лицо,Мобильное приложение,Казахский,Да,Портал,Средняя,Жалоба,Электроснабжение
942,2023-10-26,Социальная защита,Пособия,Туркестанская,66,М,Отклонено,2023-11-18,2,19.0,МОН РК,Физическое лицо,Мобильное приложение,Русский,Нет,Портал,Высокая,Предложение,Электроснабжение
943,2025-04-02,ЖКХ,Электричество,Алматинская,58,Ж,На рассмотрении,2025-04-29,1,19.0,Министерство труда,Физическое лицо,Лично,Русский,Нет,Портал,Низкая,Благодарность,Медицина
944,2024-06-17,Образование,Школы,Жамбылская,39,М,На рассмотрении,2024-07-07,3,19.0,МОН РК,Юридическое лицо,Почта,Русский,Нет,Телефон,Низкая,Благодарность,Медицина
945,2025-06-03,Жилищный вопрос,Ипотека,Алматинская,71,М,В работе,2025-07-06,1,12.0,Министерство здравоохранения,Физическое лицо,Почта,Русский,Нет,Бумажное письмо,Высокая,Благодарность,Образование
946,2023-09-27,ЖКХ,Электричество,г. Астана,34,М,Рассмотрено,2023-10-18,1,12.0,МОН РК,Физическое лицо,Лично,Русский,Нет,Email,Высокая,Жалоба,Земельный вопрос
947,2024-10-15,Здравоохранение,Скорая помощь,Восточно-Казахстанская,40,М,В работе,2024-11-06,1,14.0,Министерство труда,Физическое лицо,Лично,Русский,Да,Email,Средняя,Предложение,Медицина
948,2024-08-07,ЖКХ,Отопление,Жамбылская,76,М,На рассмотрении,2024-08-20,1,24.0,МОН РК,Физическое лицо,Почта,Русский,Да,Телефон,Низкая,Предложение,Образование
949,2023-07-10,Здравоохранение,Скорая помощь,Алматинская,78,М,Рассмотрено,2023-07-12,0,,МОН РК,Физическое лицо,Мобильное приложение,Казахский,Нет,Телефон,Низкая,Вопрос,Социальные пособия
950,2025-05-24,Жилищный вопрос,Ипотека,Туркестанская,19,М,В работе,2025-06-02,4,13.0,Министерство труда,Юридическое лицо,Веб-сайт,Казахский,Да,Бумажное письмо,Низкая,Предложение,Земельный вопрос
951,2024-04-21,Здравоохранение,Скорая помощь,г. Алматы,30,М,Отклонено,2024-04-30,2,16.0,МОН РК,Физическое лицо,Лично,Казахский,Нет,Телефон,Средняя,Вопрос,Земельный вопрос
952,2024-09-21,Здравоохранение,Доступ к поликлинике,Восточно-Казахстанская,57,Ж,Рассмотрено,2024-10-17,1,19.0,Акимат города,Физическое лицо,Веб-сайт,Казахский,Нет,Email,Низкая,Предложение,Земельный вопрос
953,2024-08-31,Социальная защита,Многодетные семьи,г. Алматы,70,М,В работе,2024-09-22,0,,Министерство труда,Юридическое лицо,Почта,Русский,Нет,Email,Высокая,Предложение,Медицина
954,2024-11-15,Труд и занятость,Безработица,Акмолинская,69,Ж,Отклонено,2024-12-05,2,14.0,ЦОН,Физическое лицо,Лично,Казахский,Да,Email,Средняя,Благодарность,Медицина
955,2023-07-11,Социальная защита,Пенсии,Акмолинская,18,М,Отклонено,2023-07-23,2,14.0,Акимат города,Юридическое лицо,Веб-сайт,Казахский,Да,Портал,Высокая,Вопрос,Электроснабжение
956,2023-08-24,Труд и занятость,Охрана труда,г. Астана,29,М,На рассмотрении,2023-09-09,1,24.0,Министерство труда,Юридическое лицо,Веб-сайт,Русский,Нет,Телефон,Низкая,Предложение,Земельный вопрос
957,2024-10-31,Жилищный вопрос,Аренда,Западно-Казахстанская,25,М,В работе,2024-11-26,1,0.0,Министерство здравоохранения,Физическое лицо,Мобильное приложение,Русский,Да,Email,Высокая,Благодарность,Электроснабжение
958,2024-05-17,ЖКХ,Электричество,Алматинская,59,Ж,Рассмотрено,2024-06-11,2,16.0,Акимат города,Юридическое лицо,Лично,Казахский,Нет,Бумажное письмо,Низкая,Благодарность,Электроснабжение
959,2023-10-03,Здравоохранение,Скорая помощь,Северо-Казахстанская,49,М,В работе,2023-11-03,4,5.0,МОН РК,Юридическое лицо,Мобильное приложение,Казахский,Да,Бумажное письмо,Средняя,Предложение,Земельный вопрос
960,2025-04-23,ЖКХ,Электричество,Карагандинская,54,Ж,Рассмотрено,2025-05-19,2,16.0,МОН РК,Юридическое лицо,Мобильное приложение,Казахский,Нет,Бумажное письмо,Средняя,Благодарность,Социальные пособия
961,2024-06-12,Образование,Детсады,Актюбинская,28,Ж,Рассмотрено,2024-07-19,1,1.0,МОН РК,Физическое лицо,Мобильное приложение,Русский,Да,Портал,Высокая,Вопрос,Социальные пособия
962,2023-11-08,Образование,ВУЗы,Туркестанская,80,М,В работе,2023-11-22,0,,Акимат города,Физическое лицо,Почта,Русский,Нет,Телефон,Высокая,Благодарность,Земельный вопрос
963,2023-07-29,Образование,ВУЗы,Акмолинская,45,Ж,В работе,2023-09-05,2,1.0,Акимат города,Физическое лицо,Почта,Русский,Да,Бумажное письмо,Высокая,Предложение,Образование
964,2024-01-08,ЖКХ,Водоснабжение,Западно-Казахстанская,55,М,Рассмотрено,2024-02-12,3,10.0,Министерство труда,Юридическое лицо,Лично,Казахский,Да,Портал,Средняя,Вопрос,Электроснабжение
965,2024-04-09,ЖКХ,Отопление,г. Алматы,53,М,На рассмотрении,2024-04-24,1,16.0,Министерство здравоохранения,Физическое лицо,Веб-сайт,Казахский,Да,Телефон,Средняя,Предложение,Медицина
966,2024-02-29,Социальная защита,Пособия,Западно-Казахстанская,77,Ж,В работе,2024-03-12,2,7.0,МОН РК,Юридическое лицо,Лично,Русский,Нет,Телефон,Низкая,Предложение,Медицина
967,2023-12-01,Социальная защита,Многодетные семьи,Западно-Казахстанская,73,Ж,Рассмотрено,2023-12-11,1,17.0,МОН РК,Юридическое лицо,Лично,Русский,Да,Портал,Средняя,Жалоба,Земельный вопрос
968,2024-06-07,Жилищный вопрос,Ипотека,Жамбылская,65,М,На рассмотрении,2024-06-14,2,15.0,Министерство здравоохранения,Юридическое лицо,Почта,Русский,Нет,Email,Средняя,Вопрос,Образование
969,2024-02-28,Социальная защита,Пенсии,Акмолинская,21,Ж,В работе,2024-04-08,0,,МОН РК,Физическое лицо,Веб-сайт,Русский,Нет,Телефон,Высокая,Жалоба,Образование
970,2024-03-08,Социальная защита,Многодетные семьи,Западно-Казахстанская,44,Ж,Рассмотрено,2024-03-13,0,,Акимат города,Юридическое лицо,Лично,Русский,Нет,Email,Средняя,Вопрос,Медицина
971,2025-01-31,ЖКХ,Водоснабжение,Туркестанская,33,Ж,В работе,2025-02-02,1,22.0,ЦОН,Юридическое лицо,Веб-сайт,Казахский,Нет,Email,Средняя,Жалоба,Медицина
972,2025-05-03,Социальная защита,Пособия,Алматинская,31,М,В работе,2025-06-01,2,23.0,МОН РК,Юридическое лицо,Почта,Русский,Нет,Бумажное письмо,Средняя,Вопрос,Электроснабжение
973,2024-04-09,ЖКХ,Водоснабжение,Акмолинская,43,Ж,Отклонено,2024-05-13,1,18.0,Министерство труда,Физическое лицо,Почта,Казахский,Нет,Email,Средняя,Жалоба,Образование
974,2024-01-22,Социальная защита,Пенсии,г. Алматы,84,М,На рассмотрении,2024-01-24,1,15.0,Министерство здравоохранения,Физическое лицо,Лично,Русский,Да,Портал,Низкая,Жалоба,Земельный вопрос
975,2025-01-24,Труд и занятость,Безработица,Акмолинская,32,Ж,Отклонено,2025-01-31,2,14.0,Министерство труда,Физическое лицо,Веб-сайт,Русский,Да,Портал,Высокая,Жалоба,Медицина
976,2025-03-27,Социальная защита,Пособия,Северо-Казахстанская,51,М,Рассмотрено,2025-05-06,3,15.0,Акимат города,Физическое лицо,Веб-сайт,Казахский,Нет,Портал,Средняя,Предложение,Социальные пособия
977,2024-05-12,Жилищный вопрос,Ипотека,Мангистауская,72,М,В работе,2024-06-19,0,,Акимат города,Физическое лицо,Веб-сайт,Русский,Да,Портал,Средняя,Предложение,Электроснабжение
978,2024-01-01,ЖКХ,Отопление,Мангистауская,83,М,Рассмотрено,2024-01-29,0,,ЦОН,Физическое лицо,Лично,Русский,Да,Бумажное письмо,Высокая,Вопрос,Электроснабжение
979,2025-03-29,ЖКХ,Водоснабжение,Карагандинская,38,Ж,Отклонено,2025-04-04,2,0.0,МОН РК,Юридическое лицо,Мобильное приложение,Русский,Нет,Телефон,Низкая,Жалоба,Земельный вопрос
980,2023-08-22,Образование,ВУЗы,г. Астана,55,Ж,На рассмотрении,2023-09-09,2,14.0,Министерство здравоохранения,Юридическое лицо,Веб-сайт,Русский,Нет,Телефон,Высокая,Жалоба,Электроснабжение
981,2024-06-19,Жилищный вопрос,Ипотека,Мангистауская,63,Ж,Отклонено,2024-07-13,2,5.0,МОН РК,Юридическое лицо,Лично,Казахский,Нет,Портал,Низкая,Предложение,Земельный вопрос
982,2023-07-05,Жилищный вопрос,Ипотека,Актюбинская,64,Ж,В работе,2023-07-27,0,,МОН РК,Юридическое лицо,Почта,Русский,Да,Бумажное письмо,Средняя,Жалоба,Медицина
983,2025-01-21,ЖКХ,Отопление,Алматинская,35,Ж,На рассмотрении,2025-02-22,0,,Акимат города,Юридическое лицо,Мобильное приложение,Русский,Да,Портал,Низкая,Жалоба,Социальные пособия
984,2024-08-11,Образование,Детсады,Карагандинская,40,М,В работе,2024-09-13,2,19.0,МОН РК,Юридическое лицо,Мобильное приложение,Казахский,Нет,Портал,Низкая,Благодарность,Электроснабжение
985,2023-07-30,Жилищный вопрос,Аренда,Жамбылская,89,М,Отклонено,2023-09-01,2,12.0,Акимат города,Физическое лицо,Веб-сайт,Казахский,Нет,Телефон,Низкая,Предложение,Электроснабжение
986,2024-03-17,Жилищный вопрос,Ипотека,г. Астана,70,Ж,Рассмотрено,2024-04-11,1,12.0,Акимат города,Юридическое лицо,Лично,Казахский,Да,Портал,Высокая,Вопрос,Образование
987,2023-12-11,Образование,ВУЗы,Жамбылская,86,М,На рассмотрении,2024-01-12,0,,Министерство здравоохранения,Юридическое лицо,Лично,Казахский,Да,Портал,Средняя,Предложение,Образование
988,2024-11-05,Труд и занятость,Охрана труда,Западно-Казахстанская,19,Ж,Рассмотрено,2024-11-27,1,10.0,ЦОН,Физическое лицо,Лично,Русский,Да,Портал,Средняя,Благодарность,Земельный вопрос
989,2023-08-12,Социальная защита,Пособия,Акмолинская,56,Ж,На рассмотрении,2023-08-23,0,,Министерство здравоохранения,Юридическое лицо,Почта,Казахский,Да,Бумажное письмо,Средняя,Предложение,Образование
990,2025-02-15,Социальная защита,Пособия,Карагандинская,89,М,На рассмотрении,2025-03-27,4,20.0,ЦОН,Юридическое лицо,Лично,Казахский,Да,Телефон,Средняя,Благодарность,Образование
991,2024-11-07,Здравоохранение,Медикаменты,Карагандинская,73,М,Отклонено,2024-11-25,1,19.0,Акимат города,Физическое лицо,Мобильное приложение,Казахский,Да,Бумажное письмо,Средняя,Жалоба,Образование
992,2023-07-21,Здравоохранение,Скорая помощь,г. Астана,18,М,В работе,2023-08-02,1,14.0,ЦОН,Физическое лицо,Лично,Казахский,Да,Бумажное письмо,Высокая,Благодарность,Электроснабжение
993,2025-01-25,Жилищный вопрос,Ипотека,г. Алматы,18,Ж,В работе,2025-01-28,1,21.0,Министерство труда,Юридическое лицо,Мобильное приложение,Казахский,Нет,Портал,Высокая,Предложение,Образование
994,2023-07-14,Социальная защита,Пособия,Восточно-Казахстанская,59,Ж,Отклонено,2023-07-27,3,7.0,Министерство здравоохранения,Физическое лицо,Лично,Казахский,Да,Бумажное письмо,Высокая,Вопрос,Социальные пособия
995,2023-12-29,Труд и занятость,Безработица,Северо-Казахстанская,79,Ж,Отклонено,2024-01-06,2,16.0,ЦОН,Физическое лицо,Веб-сайт,Русский,Нет,Email,Низкая,Предложение,Медицина
996,2023-11-21,Здравоохранение,Медикаменты,Карагандинская,55,М,Отклонено,2023-12-27,2,13.0,Министерство труда,Юридическое лицо,Лично,Русский,Нет,Телефон,Низкая,Благодарность,Социальные пособия
997,2025-04-01,Труд и занятость,Охрана труда,Северо-Казахстанская,31,Ж,Рассмотрено,2025-04-06,3,16.0,ЦОН,Физическое лицо,Мобильное приложение,Казахский,Да,Email,Средняя,Предложение,Медицина
998,2023-07-05,Социальная защита,Пенсии,Северо-Казахстанская,48,М,В работе,2023-07-31,2,21.0,МОН РК,Физическое лицо,Веб-сайт,Русский,Да,Портал,Низкая,Вопрос,Образование
999,2024-10-14,Социальная защита,Многодетные семьи,Туркестанская,75,Ж,На рассмотрении,2024-11-16,2,4.0,Министерство труда,Юридическое лицо,Веб-сайт,Русский,Да,Email,Низкая,Предложение,Электроснабжение
1000,2023-10-16,Образование,ВУЗы,г. Алматы,37,Ж,Рассмотрено,2023-11-11,1,17.0,Акимат города,Юридическое лицо,Мобильное приложение,Русский,Да,Телефон,Средняя,Вопрос,Электроснабжение
1001,2023-12-22,Здравоохранение,Медикаменты,Туркестанская,35,Ж,Рассмотрено,2024-01-31,3,11.0,ЦОН,Юридическое лицо,Лично,Казахский,Да,Телефон,Средняя,Жалоба,Социальные пособия
1002,2023-09-26,Жилищный вопрос,Аренда,Акмолинская,32,М,На рассмотрении,2023-10-17,3,18.0,Министерство здравоохранения,Юридическое лицо,Веб-сайт,Русский,Да,Телефон,Высокая,Предложение,Электроснабжение
1003,2024-06-21,Жилищный вопрос,Аренда,Северо-Казахстанская,37,М,Отклонено,2024-07-24,1,15.0,МОН РК,Физическое лицо,Веб-сайт,Казахский,Да,Портал,Низкая,Вопрос,Медицина
1004,2024-11-20,ЖКХ,Водоснабжение,Жамбылская,61,Ж,Рассмотрено,2024-11-23,2,10.0,ЦОН,Юридическое лицо,Почта,Казахский,Да,Email,Высокая,Жалоба,Земельный вопрос
1005,2023-09-16,Социальная защита,Пенсии,Туркестанская,67,М,Отклонено,2023-10-15,0,,Министерство здравоохранения,Юридическое лицо,Почта,Русский,Да,Email,Средняя,Предложение,Медицина
1006,2024-08-31,Социальная защита,Пособия,Алматинская,49,М,Отклонено,2024-09-03,2,4.0,МОН РК,Физическое лицо,Веб-сайт,Казахский,Да,Телефон,Средняя,Предложение,Земельный вопрос
1007,2023-12-06,Здравоохранение,Доступ к поликлинике,г. Алматы,85,М,Рассмотрено,2023-12-12,1,15.0,МОН РК,Юридическое лицо,Лично,Казахский,Да,Бумажное письмо,Низкая,Предложение,Медицина
1008,2024-06-15,ЖКХ,Водоснабжение,г. Астана,79,М,В работе,2024-07-04,0,,Министерство здравоохранения,Юридическое лицо,Почта,Казахский,Да,Email,Высокая,Жалоба,Земельный вопрос
1009,2024-12-14,ЖКХ,Водоснабжение,Карагандинская,45,Ж,На рассмотрении,2025-01-12,2,7.0,ЦОН,Юридическое лицо,Мобильное приложение,Русский,Нет,Email,Высокая,Жалоба,Электроснабжение
1010,2024-01-05,ЖКХ,Водоснабжение,Карагандинская,41,М,Отклонено,2024-01-30,2,1.0,ЦОН,Юридическое лицо,Веб-сайт,Казахский,Нет,Бумажное письмо,Высокая,Предложение,Образование
1011,2025-02-04,Труд и занятость,Безработица,Актюбинская,25,Ж,В работе,2025-03-12,0,,МОН РК,Физическое лицо,Почта,Казахский,Нет,Телефон,Средняя,Предложение,Социальные пособия
1012,2024-04-01,Образование,Детсады,г. Алматы,74,Ж,Рассмотрено,2024-04-12,1,5.0,ЦОН,Юридическое лицо,Лично,Казахский,Нет,Портал,Низкая,Вопрос,Электроснабжение
1013,2023-10-28,Образование,ВУЗы,Северо-Казахстанская,35,М,Рассмотрено,2023-11-05,0,,ЦОН,Физическое лицо,Почта,Русский,Нет,Email,Высокая,Жалоба,Электроснабжение
1014,2024-10-02,Социальная защита,Пособия,Восточно-Казахстанская,56,М,Рассмотрено,2024-10-29,2,4.0,Акимат города,Юридическое лицо,Почта,Русский,Нет,Телефон,Высокая,Благодарность,Электроснабжение
1015,2024-10-03,Труд и занятость,Охрана труда,Мангистауская,23,Ж,На рассмотрении,2024-10-14,2,22.0,Министерство труда,Физическое лицо,Почта,Русский,Да,Email,Высокая,Жалоба,Социальные пособия
1016,2025-01-20,ЖКХ,Водоснабжение,Карагандинская,23,Ж,Отклонено,2025-02-04,1,7.0,Акимат города,Физическое лицо,Веб-сайт,Русский,Да,Email,Низкая,Вопрос,Земельный вопрос
1017,2024-12-28,ЖКХ,Отопление,г. Алматы,23,Ж,В работе,2025-01-23,1,2.0,Министерство здравоохранения,Физическое лицо,Почта,Казахский,Нет,Email,Высокая,Вопрос,Образование
1018,2023-09-16,Здравоохранение,Скорая помощь,Алматинская,28,Ж,На рассмотрении,2023-10-12,2,16.0,ЦОН,Юридическое лицо,Веб-сайт,Казахский,Нет,Телефон,Низкая,Вопрос,Социальные пособия
1019,2025-02-13,Социальная защита,Пособия,Мангистауская,58,Ж,В работе,2025-02-20,0,,Министерство труда,Физическое лицо,Почта,Русский,Нет,Email,Средняя,Вопрос,Электроснабжение
1020,2025-03-17,Здравоохранение,Медикаменты,Мангистауская,49,М,В работе,2025-04-16,3,15.0,Акимат города,Юридическое лицо,Лично,Русский,Нет,Email,Средняя,Вопрос,Электроснабжение
1021,2023-10-25,Труд и занятость,Охрана труда,г. Алматы,28,М,Рассмотрено,2023-10-30,3,13.0,Министерство здравоохранения,Физическое лицо,Почта,Русский,Да,Бумажное письмо,Средняя,Благодарность,Электроснабжение
1022,2024-02-16,Труд и занятость,Безработица,Мангистауская,35,Ж,Рассмотрено,2024-02-25,0,,Акимат города,Юридическое лицо,Лично,Русский,Да,Телефон,Высокая,Вопрос,Социальные пособия
1023,2023-09-11,Социальная защита,Пенсии,Жамбылская,40,Ж,Рассмотрено,2023-10-04,0,,ЦОН,Физическое лицо,Почта,Русский,Нет,Email,Средняя,Предложение,Медицина
1024,2024-09-11,Жилищный вопрос,Аренда,Мангистауская,64,Ж,На рассмотрении,2024-10-10,1,22.0,Министерство труда,Физическое лицо,Мобильное приложение,Русский,Да,Email,Средняя,Благодарность,Образование
1025,2023-07-09,ЖКХ,Электричество,Мангистауская,47,Ж,На рассмотрении,2023-07-15,1,23.0,Министерство труда,Юридическое лицо,Почта,Русский,Нет,Бумажное письмо,Высокая,Благодарность,Земельный вопрос
1026,2025-06-10,Образование,ВУЗы,Актюбинская,42,Ж,В работе,2025-07-10,3,8.0,ЦОН,Физическое лицо,Мобильное приложение,Русский,Да,Портал,Низкая,Предложение,Медицина
1027,2024-02-17,Образование,ВУЗы,Туркестанская,42,Ж,На рассмотрении,2024-02-27,2,2.0,МОН РК,Физическое лицо,Почта,Русский,Да,Портал,Низкая,Предложение,Образование
1028,2024-09-09,Социальная защита,Пособия,г. Астана,28,М,На рассмотрении,2024-09-23,3,1.0,МОН РК,Юридическое лицо,Веб-сайт,Казахский,Да,Телефон,Низкая,Благодарность,Медицина
1029,2024-11-27,Жилищный вопрос,Ипотека,Карагандинская,59,М,Рассмотрено,2024-12-03,1,15.0,ЦОН,Юридическое лицо,Веб-сайт,Русский,Да,Портал,Низкая,Благодарность,Электроснабжение
1030,2025-05-25,Здравоохранение,Доступ к поликлинике,Северо-Казахстанская,35,Ж,Отклонено,2025-05-28,4,14.0,Акимат города,Физическое лицо,Лично,Казахский,Да,Бумажное письмо,Низкая,Вопрос,Социальные пособия
1031,2024-04-06,ЖКХ,Электричество,Актюбинская,65,Ж,В работе,2024-04-12,2,21.0,МОН РК,Физическое лицо,Мобильное приложение,Казахский,Нет,Портал,Низкая,Вопрос,Социальные пособия
1032,2024-04-23,Труд и занятость,Безработица,Алматинская,19,М,На рассмотрении,2024-05-14,0,,ЦОН,Физическое лицо,Веб-сайт,Казахский,Нет,Бумажное письмо,Средняя,Благодарность,Образование
1033,2024-12-26,Труд и занятость,Охрана труда,Туркестанская,44,Ж,В работе,2025-01-31,1,6.0,ЦОН,Юридическое лицо,Мобильное приложение,Казахский,Нет,Email,Высокая,Благодарность,Образование
1034,2023-11-21,Труд и занятость,Трудовые споры,г. Алматы,80,Ж,Отклонено,2023-12-12,1,7.0,Акимат города,Юридическое лицо,Лично,Русский,Нет,Телефон,Низкая,Предложение,Образование
1035,2023-08-18,Образование,ВУЗы,Северо-Казахстанская,29,Ж,Отклонено,2023-09-24,1,16.0,Министерство здравоохранения,Юридическое лицо,Почта,Русский,Да,Телефон,Низкая,Вопрос,Электроснабжение
1036,2024-09-21,Здравоохранение,Скорая помощь,Западно-Казахстанская,53,М,На рассмотрении,2024-10-08,2,21.0,МОН РК,Юридическое лицо,Мобильное приложение,Русский,Нет,Портал,Высокая,Благодарность,Образование
1037,2024-12-07,Жилищный вопрос,Снос жилья,Туркестанская,64,Ж,Отклонено,2024-12-13,1,15.0,Акимат города,Физическое лицо,Лично,Русский,Нет,Email,Средняя,Благодарность,Земельный вопрос
1038,2025-03-26,Образование,Детсады,Жамбылская,31,Ж,В работе,2025-04-24,1,4.0,МОН РК,Физическое лицо,Лично,Русский,Нет,Бумажное письмо,Высокая,Жалоба,Социальные пособия
1039,2024-10-19,Образование,Школы,Акмолинская,46,М,На рассмотрении,2024-10-27,1,13.0,МОН РК,Юридическое лицо,Веб-сайт,Русский,Да,Телефон,Низкая,Вопрос,Медицина
1040,2023-12-25,Здравоохранение,Доступ к поликлинике,Северо-Казахстанская,69,М,На рассмотрении,2024-02-03,0,,ЦОН,Физическое лицо,Лично,Казахский,Нет,Бумажное письмо,Низкая,Предложение,Медицина
1041,2023-09-07,Образование,ВУЗы,Актюбинская,38,М,Рассмотрено,2023-09-14,2,19.0,ЦОН,Физическое лицо,Лично,Русский,Да,Бумажное письмо,Низкая,Жалоба,Медицина
1042,2024-12-12,ЖКХ,Электричество,Туркестанская,42,Ж,На рассмотрении,2024-12-28,1,21.0,Министерство здравоохранения,Физическое лицо,Мобильное приложение,Казахский,Да,Портал,Средняя,Предложение,Медицина
1043,2025-02-09,Социальная защита,Пенсии,Карагандинская,33,Ж,В работе,2025-03-11,0,,Акимат города,Юридическое лицо,Почта,Русский,Да,Email,Низкая,Благодарность,Социальные пособия
1044,2024-02-09,ЖКХ,Водоснабжение,Западно-Казахстанская,71,Ж,На рассмотрении,2024-03-14,0,,ЦОН,Юридическое лицо,Мобильное приложение,Казахский,Нет,Телефон,Средняя,Жалоба,Социальные пособия
1045,2025-04-10,Жилищный вопрос,Ипотека,Западно-Казахстанская,62,М,Отклонено,2025-05-04,2,21.0,МОН РК,Физическое лицо,Веб-сайт,Казахский,Да,Бумажное письмо,Низкая,Предложение,Образование
1046,2024-12-02,Образование,Школы,Мангистауская,39,Ж,Рассмотрено,2025-01-09,1,8.0,Министерство здравоохранения,Юридическое лицо,Почта,Русский,Да,Email,Средняя,Жалоба,Социальные пособия
1047,2024-09-28,Образование,Детсады,г. Астана,36,Ж,В работе,2024-10-23,3,3.0,Министерство здравоохранения,Юридическое лицо,Почта,Русский,Нет,Телефон,Средняя,Предложение,Образование
1048,2025-03-06,Жилищный вопрос,Аренда,Акмолинская,67,М,Рассмотрено,2025-04-12,1,10.0,Министерство труда,Физическое лицо,Почта,Казахский,Да,Портал,Низкая,Предложение,Земельный вопрос
1049,2023-09-22,Образование,Школы,Восточно-Казахстанская,54,Ж,В работе,2023-10-13,0,,Акимат города,Физическое лицо,Лично,Русский,Нет,Телефон,Низкая,Предложение,Социальные пособия
1050,2025-02-27,Труд и занятость,Безработица,Карагандинская,85,М,На рассмотрении,2025-04-08,1,9.0,Министерство труда,Физическое лицо,Лично,Казахский,Нет,Портал,Низкая,Жалоба,Медицина
1051,2024-09-01,Социальная защита,Пенсии,Туркестанская,26,М,На рассмотрении,2024-09-13,0,,Министерство здравоохранения,Юридическое лицо,Лично,Русский,Да,Портал,Низкая,Жалоба,Образование
1052,2025-02-16,Труд и занятость,Безработица,Восточно-Казахстанская,24,М,В работе,2025-03-13,0,,ЦОН,Физическое лицо,Мобильное приложение,Русский,Нет,Портал,Низкая,Предложение,Электроснабжение
1053,2023-07-21,Образование,Детсады,Карагандинская,48,Ж,Рассмотрено,2023-08-10,3,20.0,МОН РК,Физическое лицо,Мобильное приложение,Русский,Да,Email,Средняя,Предложение,Земельный вопрос
1054,2024-03-15,Труд и занятость,Охрана труда,Северо-Казахстанская,49,Ж,В работе,2024-03-19,2,23.0,Акимат города,Юридическое лицо,Лично,Казахский,Нет,Бумажное письмо,Низкая,Благодарность,Медицина
1055,2024-08-06,Социальная защита,Многодетные семьи,Актюбинская,34,Ж,На рассмотрении,2024-08-20,2,10.0,Министерство труда,Юридическое лицо,Почта,Казахский,Нет,Телефон,Низкая,Вопрос,Социальные пособия
1056,2024-05-17,Здравоохранение,Скорая помощь,Северо-Казахстанская,18,М,В работе,2024-06-04,0,,МОН РК,Физическое лицо,Лично,Казахский,Да,Портал,Низкая,Предложение,Социальные пособия
1057,2024-11-14,Жилищный вопрос,Ипотека,Мангистауская,21,Ж,Отклонено,2024-12-04,2,16.0,Министерство здравоохранения,Физическое лицо,Почта,Русский,Нет,Email,Низкая,Предложение,Земельный вопрос
1058,2024-04-02,Социальная защита,Пособия,Жамбылская,82,Ж,В работе,2024-04-25,4,18.0,Акимат города,Физическое лицо,Лично,Казахский,Нет,Email,Средняя,Жалоба,Образование
